ball,score,commentary,second_commentary,output_labels_primary,output_labels_secondary
13.6,2nb,"maxwell to gaikwad ,  no ball  1 runah , now a high full toss which dips around off but still ends up being called a no-ball on height  gaikwad slashed this to deep-point","maxwell to gaikwad , no ball , 1 run , a loopy one , slips out the hand and ends above the waist outside-off  puzzled gaikwad who just pushed it beyond backward-point for a strike  kishan to face the free hit","['Bowler: maxwell', 'Batsman: gaikwad', 'Runs: 1', 'Length: Full', 'Shot Position: Deep-point', 'Batsman: gaikwad']","['Bowler: maxwell', 'Batsman: gaikwad', 'Runs: 1', 'Outcome: Out', 'Line: Outside-off', 'Shot Position: Slip', 'Batsman: gaikwad']"
13.5,6,"maxwell to gaikwad ,  six runsover long-on  gaikwad gets one away at last  another length ball outside-off from maxwell , as gaikwad waits before sweeping in front of the wicket  for one it seemed the fielder would be interested , but the ball was too high and far","maxwell to gaikwad , six , darted through on off , gaikwad gets down on one knee and flat bats his sweep over long-on for a maximum","['Bowler: maxwell', 'Batsman: gaikwad', 'Outcome: Six', 'Length: Length', 'Line: Outside-off', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: maxwell', 'Batsman: gaikwad', 'Outcome: Six', 'Shot Type: Sweep', 'Shot Position: Long-on', 'Batsman: gaikwad']"
13.4,1,"maxwell to ishan ,  1 runagain charges down , but ends up converting this into a yorker-length ball around leg  pushed to long-on","maxwell to ishan kishan , 1 run , fired through and straighter , kishan slams it towards long-on","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Shot Position: Long-on', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Runs: 1', 'Shot Position: Long-on', 'Batsman: ishan kishan']"
13.3,4,"maxwell to ishan , four runsswept to the right of short-fine-leg  full and flat , dipping just outside leg , as kishan slog sweeps behind the wicket","maxwell to ishan kishan , four , shuffles in to get off-side of this leg lined delivery and sweeps it to the right of short fine for a boundary","['Bowler: maxwell', 'Batsman: ishan', 'Outcome: Four', 'Length: Full', 'Shot Position: Short-fine-leg', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Outcome: Four', 'Length: Short', 'Shot Position: Off-side', 'Batsman: ishan kishan']"
13.2,6,"maxwell to ishan ,  six runshuge six over the bowler  head  that not only went very high , but also landed pretty deep  kishan skipped down the pitch early , with maxwell bowling on a length outside-off  he went ahead with the swing , and bagged six more","maxwell to ishan kishan , six , pitched up and wider , kishan anticipated it and stepped out his crease , got to the pitch of it and hoisted it straight down the ground  all muscle on that shot and nearly goes to the second tier   ","['Bowler: maxwell', 'Batsman: ishan', 'Outcome: Six', 'Outcome: Six', 'Length: Length', 'Line: Outside-off', 'Outcome: Six', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Outcome: Six', 'Outcome: Out', 'Batsman: ishan kishan']"
13.2,6,"maxwell to ishan ,  six runshuge six over the bowler  head  that not only went very high , but also landed pretty deep  kishan skipped down the pitch early , with maxwell bowling on a length outside-off  he went ahead with the swing , and bagged six more","maxwell to ishan kishan , wide , once again down leg","['Bowler: maxwell', 'Batsman: ishan', 'Outcome: Six', 'Outcome: Six', 'Length: Length', 'Line: Outside-off', 'Outcome: Six', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Batsman: ishan kishan']"
13.2,6,"maxwell to ishan ,  six runshuge six over the bowler  head  that not only went very high , but also landed pretty deep  kishan skipped down the pitch early , with maxwell bowling on a length outside-off  he went ahead with the swing , and bagged six more","maxwell to ishan kishan , wide , darted through from round the wicket , ends down the leg-side","['Bowler: maxwell', 'Batsman: ishan', 'Outcome: Six', 'Outcome: Six', 'Length: Length', 'Line: Outside-off', 'Outcome: Six', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Shot Position: Leg-side', 'Batsman: ishan kishan']"
13.2,1w,"maxwell to ishan , 1 wideand again  he angles it in , and on a full length but outside leg  another leave by kishan","maxwell to ishan kishan , six , pitched up and wider , kishan anticipated it and stepped out his crease , got to the pitch of it and hoisted it straight down the ground  all muscle on that shot and nearly goes to the second tier   ","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Length: Length', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Outcome: Six', 'Outcome: Out', 'Batsman: ishan kishan']"
13.2,1w,"maxwell to ishan , 1 wideand again  he angles it in , and on a full length but outside leg  another leave by kishan","maxwell to ishan kishan , wide , once again down leg","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Length: Length', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Batsman: ishan kishan']"
13.2,1w,"maxwell to ishan , 1 wideand again  he angles it in , and on a full length but outside leg  another leave by kishan","maxwell to ishan kishan , wide , darted through from round the wicket , ends down the leg-side","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Length: Length', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Shot Position: Leg-side', 'Batsman: ishan kishan']"
13.2,1w,"maxwell to ishan , 1 widebowls very full , but outside leg while angling it in  kishan lets it go , and it  called wide","maxwell to ishan kishan , six , pitched up and wider , kishan anticipated it and stepped out his crease , got to the pitch of it and hoisted it straight down the ground  all muscle on that shot and nearly goes to the second tier   ","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Outcome: Six', 'Outcome: Out', 'Batsman: ishan kishan']"
13.2,1w,"maxwell to ishan , 1 widebowls very full , but outside leg while angling it in  kishan lets it go , and it  called wide","maxwell to ishan kishan , wide , once again down leg","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Batsman: ishan kishan']"
13.2,1w,"maxwell to ishan , 1 widebowls very full , but outside leg while angling it in  kishan lets it go , and it  called wide","maxwell to ishan kishan , wide , darted through from round the wicket , ends down the leg-side","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Shot Position: Leg-side', 'Batsman: ishan kishan']"
13.1,1,"maxwell to gaikwad ,  1 runlength ball a bit wide of off , as gaikwad gets deep in the crease to push to long-on","maxwell to gaikwad , 1 run , flat delivery outside-off , doesn't spin  gaikwad shimmies inwards to push it away towards long-on","['Bowler: maxwell', 'Batsman: gaikwad', 'Runs: 1', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: maxwell', 'Batsman: gaikwad', 'Runs: 1', 'Line: Outside-off', 'Speed: Spin', 'Shot Position: Long-on', 'Batsman: gaikwad']"
12.6,4,"t sangha to ishan , four runsjust past ellis at deep-square-leg  he ran and dived full stretch , even as the ball landed wide of him there  sangha bowled on the fuller side of a length around off , as kishan slog swept this to bag another boundary","sangha to ishan kishan , four , just out of his reach  tossed up middle-stump , ishan kishan leaned forward and slog-swept it towards cow-corner , didn't get all of it and it was just out of reach of the fielder who was diving forward after running across from deep-mid-wicket","['Bowler: t sangha', 'Batsman: ishan', 'Outcome: Four', 'Length: Full', 'Field Activity: Bowled', 'Length: Length', 'Shot Position: Deep-square-leg', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Outcome: Four', 'Outcome: Out', 'Line: Middle-stump', 'Outcome: Out', 'Shot Position: Cow-corner', 'Batsman: ishan kishan']"
12.5,1,"t sangha to gaikwad ,  1 runanother one finds the fielder  slightly short of a length outside-off , with turn away again  pulled flat to deep midwicket","sangha to gaikwad , 1 run , length delivery on outside-off , gaikwad presses back and pulls it away towards deep-mid-wicket","['Bowler: t sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Short', 'Length: Length', 'Line: Outside-off', 'Shot Position: Midwicket', 'Batsman: gaikwad']","['Bowler: sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Position: Deep-mid-wicket', 'Batsman: gaikwad']"
12.4,1,"t sangha to ishan ,  1 runshort and wide of off , as kishan reaches out and flays this to deep-point","sangha to ishan kishan , 1 run , flatter delivery outside-off , slapped away towards deep extra-cover","['Bowler: t sangha', 'Batsman: ishan', 'Runs: 1', 'Outcome: Out', 'Shot Position: Deep-point', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Runs: 1', 'Line: Outside-off', 'Shot Position: Extra-cover', 'Batsman: ishan kishan']"
12.3,•,"t sangha to ishan , no runshapes to switch hit , but is hit on his front pad  but the impact is outside-off , with the ball being on a length and outside-off too","sangha to ishan kishan , no run , flatter delivery on outside-off , ishan kishan looked to reverse-sweep , appeal for leg before but it was going past outside-off","['Bowler: t sangha', 'Batsman: ishan', 'Line: Outside-off', 'Length: Length', 'Line: Outside-off', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Line: Outside-off', 'Shot Type: Reverse-sweep', 'Line: Outside-off', 'Batsman: ishan kishan']"
12.2,1,"t sangha to gaikwad ,  1 runskips down , but the ball is shortish around off , while turning away too  punched to deep-point","sangha to gaikwad , 1 run , length delivery on outside-off , gaikwad skips down the track and has to adjust as it doesn't arrive , he waits for it and bunts it towards deep-cover","['Bowler: t sangha', 'Batsman: gaikwad', 'Runs: 1', 'Shot Position: Deep-point', 'Batsman: gaikwad']","['Bowler: sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Position: Deep-cover', 'Batsman: gaikwad']"
12.1,1,"t sangha to ishan ,  1 runthis turns away off a shortish length , and ends pretty wide of off  chopped back to the bowler  right","sangha to ishan kishan , 1 run , length delivery pushed through just outside-off , ishan kishan pressed back looking to cut but was a bit rushed , ended up knocking it towards cover for one","['Bowler: t sangha', 'Batsman: ishan', 'Runs: 1', 'Length: Length', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Type: Cut', 'Shot Position: Cover', 'Batsman: ishan kishan']"
11.6,1,"stoinis to ishan ,  1 runthis stays slightly low off a shortish length , even as it angles across to finish around off  pulled to deep-square","stoinis to ishan kishan , 1 run , good length delivery on middle , heaved away towards deep-mid-wicket","['Bowler: stoinis', 'Batsman: ishan', 'Runs: 1', 'Length: Length', 'Shot Position: Deep-square', 'Batsman: ishan']","['Bowler: stoinis', 'Batsman: ishan kishan', 'Runs: 1', 'Length: Good', 'Length: Length', 'Shot Position: Deep-mid-wicket', 'Batsman: ishan kishan']"
11.5,1,"stoinis to gaikwad ,  1 runanother mistimed shot  stoinis bowls short again , and around off  the ball rushes on to gaikwad , as he pulls but the ball hits the higher side of the bat to land to short fine  left","stoinis to gaikwad , 1 run , short of length and attacking the body , gaikwad looked to pull but was cramped for room , lobbed up towards backward-square-leg off the top-edge but there was no one there","['Bowler: stoinis', 'Batsman: gaikwad', 'Runs: 1', 'Length: Short', 'Length: Short', 'Batsman: gaikwad']","['Bowler: stoinis', 'Batsman: gaikwad', 'Runs: 1', 'Length: Short', 'Length: Length', 'Shot Type: Pull', 'Hit Type: Top-edge', 'Shot Position: Backward-square-leg', 'Batsman: gaikwad']"
11.4,1,"stoinis to ishan ,  1 runshort again , but this time pretty wide of off  swiped wide of long-on","stoinis to ishan kishan , 1 run , slower length delivery outside-off , ishan kishan drags it down towards deep-mid-wicket , along the ground this time","['Bowler: stoinis', 'Batsman: ishan', 'Runs: 1', 'Shot Position: Long-on', 'Batsman: ishan']","['Bowler: stoinis', 'Batsman: ishan kishan', 'Runs: 1', 'Speed: Slower', 'Length: Length', 'Line: Outside-off', 'Shot Position: Deep-mid-wicket', 'Batsman: ishan kishan']"
11.3,6,"stoinis to ishan ,  six runsfinally gets one away  this is another slower delivery , which is short and just outside-off  kishan rode the bounce , and belted the pull over deep midwicket","stoinis to ishan kishan , six , he  crunched this one though  short of a length slower delivery , sat up nicely as ishan kishan hung back and waited for it before slamming it away over deep-mid-wicket","['Bowler: stoinis', 'Batsman: ishan', 'Outcome: Six', 'Speed: Slower', 'Length: Short', 'Line: Outside-off', 'Shot Type: Pull', 'Shot Position: Midwicket', 'Batsman: ishan']","['Bowler: stoinis', 'Batsman: ishan kishan', 'Outcome: Six', 'Length: Short', 'Length: Length', 'Speed: Slower', 'Shot Position: Deep-mid-wicket', 'Batsman: ishan kishan']"
11.2,•,"stoinis to ishan , no runbeaten by the slower ball  stoinis lands this on a shortish length , and slightly wide of off  kishan went for a heave , but missed","stoinis to ishan kishan , no run , slower length delivery outside-off , ishan kishan looked to heave this away into the leg-side but was through his shot too early","['Bowler: stoinis', 'Batsman: ishan', 'Speed: Slower', 'Length: Length', 'Batsman: ishan']","['Bowler: stoinis', 'Batsman: ishan kishan', 'Speed: Slower', 'Length: Length', 'Line: Outside-off', 'Shot Position: Leg-side', 'Batsman: ishan kishan']"
11.1,1,"stoinis to gaikwad ,  1 runbowls with pace off , and on a short of a length and wide line outside-off  cut away to deep backward-point","stoinis to gaikwad , 1 run , short and wide outside-off , gaikwad presses back and chops it away towards deep backward-point , protection out there","['Bowler: stoinis', 'Batsman: gaikwad', 'Runs: 1', 'Speed: Pace', 'Length: Short', 'Length: Length', 'Line: Outside-off', 'Shot Type: Cut', 'Shot Position: Backward-point', 'Batsman: gaikwad']","['Bowler: stoinis', 'Batsman: gaikwad', 'Runs: 1', 'Length: Short', 'Line: Outside-off', 'Outcome: Out', 'Shot Position: Backward-point', 'Batsman: gaikwad']"
10.6,1,"zampa to gaikwad ,  1 runanother one that rushes through , while keeping low too  bowled on a length on middle and off , and dabbed towards cover for a quick single","zampa to gaikwad , 1 run , good length delivery on middle , rushes him off the track as he bunts it into the off-side off the backfoot","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Field Activity: Bowled', 'Length: Length', 'Outcome: Single', 'Shot Position: Cover', 'Batsman: gaikwad']","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Length: Good', 'Length: Length', 'Shot Position: Off-side', 'Batsman: gaikwad']"
10.5,1,"zampa to ishan ,  1 rundrills this to long-off  left , as the ball is again very full and around off","zampa to ishan kishan , 1 run , floated up very full on outside-off , drilled down to long-off","['Bowler: zampa', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Shot Position: Long-off', 'Batsman: ishan']","['Bowler: zampa', 'Batsman: ishan kishan', 'Runs: 1', 'Length: Full', 'Line: Outside-off', 'Shot Position: Long-off', 'Batsman: ishan kishan']"
10.4,•,"zampa to ishan , no runslows it down , and bowls cleverly on a short of a length , getting it to turn away and end wide-ish off  a late cut towards point","zampa to ishan kishan , no run , slower googly on a length just outside-off , ishan kishan waited for it and bunted it into the off-side","['Bowler: zampa', 'Batsman: ishan', 'Length: Short', 'Length: Length', 'Shot Type: Cut', 'Shot Position: Point', 'Batsman: ishan']","['Bowler: zampa', 'Batsman: ishan kishan', 'Speed: Slower', 'Variation: Googly', 'Length: Length', 'Line: Outside-off', 'Shot Position: Off-side', 'Batsman: ishan kishan']"
10.3,1,"zampa to gaikwad ,  1 runshort of a length , and this skids through to end leg-stump  clipped behind square for a single","zampa to gaikwad , 1 run , flatter and quicker on leg-stump , gaikwad presses back and squeezes it out towards deep-square-leg","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Leg-stump', 'Outcome: Single', 'Batsman: gaikwad']","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Line: Leg-stump', 'Outcome: Out', 'Shot Position: Deep-square-leg', 'Batsman: gaikwad']"
10.2,1,"zampa to ishan ,  1 runanother very full ball angled across , and landing on off  swept hard to deep midwicket","zampa to ishan kishan , 1 run , tossed up middle-stump , ishan kishan went for the moon here , wanted to hit it into the stands at cow-corner but it went off the toe end to the fielder there","['Bowler: zampa', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Shot Position: Midwicket', 'Batsman: ishan']","['Bowler: zampa', 'Batsman: ishan kishan', 'Runs: 1', 'Line: Middle-stump', 'Shot Position: Cow-corner', 'Batsman: ishan kishan']"
10.1,1,"zampa to gaikwad ,  1 runvery full and dipping on middle and off  pushed to long-on off the inside half of the bat","zampa to gaikwad , 1 run , flighted delivery middle-stump , pushed down the ground to long-on","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Length: Full', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Line: Middle-stump', 'Shot Position: Long-on', 'Batsman: gaikwad']"
9.6,1,"abbott to gaikwad ,  1 runslower ball , and on a length outside-off  pushed gently to deep-point","abbott to gaikwad , 1 run , short of length on outside-off , gaikwad hangs back and eases it away towards backward-point","['Bowler: abbott', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Position: Deep-point', 'Batsman: gaikwad']","['Bowler: abbott', 'Batsman: gaikwad', 'Runs: 1', 'Length: Short', 'Length: Length', 'Line: Outside-off', 'Shot Position: Backward-point', 'Batsman: gaikwad']"
9.5,1,"abbott to ishan ,  1 runlands just to the right of short-fine-leg  another short ball from abbott in this over cramps kishan  abbott banged it on the pitch , getting it to land around leg-stump  kishan pulled but for a top edge , with the ball barely landing wide","abbott to ishan kishan , 1 run , falls short of the fielder now  good bowling this from abbott , saw ishan kishan running down the track and dug this in short , cramped him for room and beat for him for pace on the pull , it nearly lobbed up towards short fine-leg off the top-edge , just landed to his right","['Bowler: abbott', 'Batsman: ishan', 'Runs: 1', 'Length: Short', 'Line: Leg-stump', 'Shot Position: Short-fine-leg', 'Batsman: ishan']","['Bowler: abbott', 'Batsman: ishan kishan', 'Runs: 1', 'Length: Short', 'Length: Good', 'Length: Short', 'Speed: Pace', 'Shot Type: Pull', 'Length: Short', 'Hit Type: Top-edge', 'Shot Position: Fine-leg', 'Batsman: ishan kishan']"
9.4,1,"abbott to gaikwad ,  1 rundropped by abbott  it was a tough chance though , as he flung his right hand out , with the ball flicking it away  gaikwad just chipped this length ball back with the full face of the bat","abbott to gaikwad , 1 run , half-chance is put down  the umpire had to take cover there , pitched up middle-stump , gaikwad drove that back crisply but it was in the air , abbott stuck his right hand out and got his fingertips to it","['Bowler: abbott', 'Batsman: gaikwad', 'Runs: 1', 'Outcome: Out', 'Length: Length', 'Length: Full', 'Batsman: gaikwad']","['Bowler: abbott', 'Batsman: gaikwad', 'Runs: 1', 'Line: Middle-stump', 'Outcome: Out', 'Shot Position: Cover', 'Batsman: gaikwad']"
9.3,1,"abbott to ishan ,  1 runbangs this on a hard length just outside-off , as kishan pulls to deep midwicket  the ball seemed to be almost rushing on to him there","abbott to ishan kishan , 1 run , short of length on outside-off , ishan kishan pressed back looking to pull it into the stands , went too hard at it and it went towards mid-wicket off the bottom half","['Bowler: abbott', 'Batsman: ishan', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Position: Midwicket', 'Batsman: ishan']","['Bowler: abbott', 'Batsman: ishan kishan', 'Runs: 1', 'Length: Short', 'Length: Length', 'Line: Outside-off', 'Shot Type: Pull', 'Batsman: ishan kishan']"
9.2,1,"abbott to gaikwad ,  1 runslower ball , and on a length in the channel outside-off  nudged softly to long-on , while almost leaning into the shot","abbott to gaikwad , 1 run , length delivery on outside-off , gently tucked away towards mid-wicket for one","['Bowler: abbott', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: abbott', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Batsman: gaikwad']"
9.1,2,"abbott to gaikwad ,  2 runswell fielded by sangha , as he runs and dives to his right from long-on to cut that off  abbott bowled short around off , as gaikwad played a short-arm pull","abbott to gaikwad , 2 runs , great work in the deep , short of length on outside-off , gaikwad hung back and pulled it away nicely towards cow-corner , david the man at long-on , dived to his right to stop it","['Bowler: abbott', 'Batsman: gaikwad', 'Runs: 2', 'Shot Type: Cut', 'Field Activity: Bowled', 'Length: Short', 'Shot Type: Pull', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: abbott', 'Batsman: gaikwad', 'Runs: 2', 'Length: Short', 'Length: Length', 'Line: Outside-off', 'Field Activity: Stop', 'Shot Position: Cow-corner', 'Batsman: gaikwad']"
8.6,•,"t sangha to ishan , no runshort and wide-ish of off  kishan has a slash , but ends up chopping it on the bounce to wade","sangha to ishan kishan , no run , short of length just outside-off , ishan kishan presses back looking to cut and gets a thick bottom-edge that bounces to the keeper","['Bowler: t sangha', 'Batsman: ishan', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Length: Short', 'Length: Length', 'Line: Outside-off', 'Shot Type: Cut', 'Hit Type: Bottom-edge', 'Batsman: ishan kishan']"
8.5,1,"t sangha to gaikwad ,  1 runthis is fullish leg-stump , and slower too  turned towards short-fine-leg by gaikwad","sangha to gaikwad , 1 run , full on leg-stump , gaikwad leans forward and works it away towards deep-square-leg","['Bowler: t sangha', 'Batsman: gaikwad', 'Runs: 1', 'Line: Leg-stump', 'Speed: Slower', 'Shot Position: Short-fine-leg', 'Batsman: gaikwad']","['Bowler: sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Full', 'Line: Leg-stump', 'Shot Position: Deep-square-leg', 'Batsman: gaikwad']"
8.4,1,"t sangha to ishan ,  1 runthis low full toss dips to end up being pretty wide of off , and is dragged to long-off","sangha to ishan kishan , 1 run , floated up full outside-off , ends up being a low full-toss and ishan kishan pushes it down the ground to long-off","['Bowler: t sangha', 'Batsman: ishan', 'Runs: 1', 'Length: Full', 'Shot Position: Long-off', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Runs: 1', 'Length: Full', 'Line: Outside-off', 'Shot Position: Long-off', 'Batsman: ishan kishan']"
8.3,1,"t sangha to gaikwad ,  1 runthis keeps low off a short of a length outside-off , and is swiped to long-on","sangha to gaikwad , 1 run , length delivery just outside-off , keeps a touch low as gaikwad presses back to drag it down to long-on","['Bowler: t sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Short', 'Length: Length', 'Line: Outside-off', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Position: Long-on', 'Batsman: gaikwad']"
8.2,1,"t sangha to ishan ,  1 runpulled on a few bounces to the man at deep backward-square-leg  short again from sangha , getting it to turn into kishan","sangha to ishan kishan , 1 run , dragged down short on middle , ishan kishan presses back and pulls it away , can't beat deep-square-leg though","['Bowler: t sangha', 'Batsman: ishan', 'Runs: 1', 'Length: Short', 'Shot Position: Backward-square-leg', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Runs: 1', 'Length: Short', 'Shot Position: Deep-square-leg', 'Batsman: ishan kishan']"
8.1,1,"t sangha to gaikwad ,  1 runshort outside-off , and turning away yet again  a hard cut to deep-point","sangha to gaikwad , 1 run , short of length on outside-off , slapped out to sweeper cover","['Bowler: t sangha', 'Batsman: gaikwad', 'Runs: 1', 'Line: Outside-off', 'Shot Type: Cut', 'Shot Position: Deep-point', 'Batsman: gaikwad']","['Bowler: sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Short', 'Length: Length', 'Line: Outside-off', 'Outcome: Out', 'Shot Position: Cover', 'Batsman: gaikwad']"
7.6,•,"zampa to ishan , no runsweeps at this wide ball outside leg , which is full and two stumps down  the man at short fine tumbles to his left to cut it off","zampa to ishan kishan , no run , zampa gets away with one , full and down leg , would've been wide but ishan kishan leant in looking to sweep it fine , just couldn't beat short fine-leg","['Bowler: zampa', 'Batsman: ishan', 'Length: Full', 'Length: Short', 'Shot Type: Cut', 'Batsman: ishan']","['Bowler: zampa', 'Batsman: ishan kishan', 'Length: Full', 'Shot Type: Sweep', 'Length: Short', 'Shot Position: Fine-leg', 'Batsman: ishan kishan']"
7.5,1,"zampa to gaikwad ,  1 runyorker length on the stumps , and dug out to long-on after getting his front leg out of the way","zampa to gaikwad , 1 run , full on leg-stump , pushed down the ground to long-on","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Outcome: Out', 'Outcome: Out', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Length: Full', 'Line: Leg-stump', 'Shot Position: Long-on', 'Batsman: gaikwad']"
7.4,2,"zampa to gaikwad ,  2 runson a short of a length , almost straightening towards middle and off  clipped towards deep midwicket , and they pinch two","zampa to gaikwad , 2 runs , good length delivery on middle , bit of extra bounce and gaikwad tucked it away gently towards mid-wicket , went to the edge of the circle and they sprinted back for two","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 2', 'Length: Short', 'Length: Length', 'Shot Position: Midwicket', 'Batsman: gaikwad']","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 2', 'Length: Good', 'Length: Length', 'Batsman: gaikwad']"
7.3,1,"zampa to ishan ,  1 runfull and flat on off , and nudged to long-on","zampa to ishan kishan , 1 run , middle-stump , pushed down the ground to long-on","['Bowler: zampa', 'Batsman: ishan', 'Runs: 1', 'Shot Position: Long-on', 'Batsman: ishan']","['Bowler: zampa', 'Batsman: ishan kishan', 'Runs: 1', 'Line: Middle-stump', 'Shot Position: Long-on', 'Batsman: ishan kishan']"
7.2,•,"zampa to ishan , no runfull again around off , with a hint of turn away  blocked down , after shaping to almost have a swing at it","zampa to ishan kishan , no run , wrong-un pushed through full on outside-off , ishan kishan prods forward and blocks it solidly","['Bowler: zampa', 'Batsman: ishan', 'Batsman: ishan']","['Bowler: zampa', 'Batsman: ishan kishan', 'Length: Full', 'Line: Outside-off', 'Batsman: ishan kishan']"
7.1,4,"zampa to ishan , four runsclubs this down the ground  the ball was very full , and just outside-off , as kishan drilled one down between the stumps and the non-striker  zampa stuck his right hand out , but couldn't get a hand","zampa to ishan kishan , four , too full on outside-off , ishan kishan cleared his front-leg and drilled it straight back past the stumps at the other end , no chance for either long-on or long-off","['Bowler: zampa', 'Batsman: ishan', 'Outcome: Four', 'Length: Full', 'Line: Outside-off', 'Outcome: Out', 'Batsman: ishan']","['Bowler: zampa', 'Batsman: ishan kishan', 'Outcome: Four', 'Length: Full', 'Line: Outside-off', 'Shot Position: Long-on', 'Batsman: ishan kishan']"
6.6,1,"t sangha to ishan ,  1 runanother one turns in nicely off a short of a length , and finishes around middle and leg  pulled away to fine-leg","sangha to ishan kishan , 1 run , dragged down on outside-off , ishan kishan presses back and pulls it away towards deep-square-leg","['Bowler: t sangha', 'Batsman: ishan', 'Runs: 1', 'Length: Short', 'Length: Length', 'Shot Position: Fine-leg', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Runs: 1', 'Line: Outside-off', 'Shot Position: Deep-square-leg', 'Batsman: ishan kishan']"
6.5,1,"t sangha to gaikwad ,  1 runshort of a length outside-off , and punched to deep-point","sangha to gaikwad , 1 run , length delivery on outside-off , punched towards deep backward-point off the backfoot","['Bowler: t sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Position: Deep-point', 'Batsman: gaikwad']","['Bowler: sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Length', 'Line: Outside-off', 'Shot Position: Backward-point', 'Batsman: gaikwad']"
